NUM,YEAR,PPTIN,TMINF,TMEANF,TMAXF
5,2000,60.98,24.86,33.18,41.52
5,2001,59.49,25.87,34.24,42.63
5,2002,84.64,24.35,32.56,40.76
5,2003,70.48,26.47,35.39,44.33
5,2004,73.08,26.83,35.14,43.48
5,2005,71.88,25.79,34.4,43.06
5,2006,82.99,27.13,35.86,44.55
5,2007,67.63,26.48,35.29,44.09
5,2008,69.03,24.62,33.52,42.46
5,2009,66.46,24.3,33.33,42.37
5,2010,75.3,26.23,34.61,42.98
5,2011,90.85,24.77,33.37,41.96
5,2012,105.78,26.99,35.52,44.08
5,2013,74.67,26.25,34.96,43.61
5,2014,81.2,25.68,34.28,42.83
5,2015,62.62,28.29,36.96,45.62
6,1966,92.91,25.51,34.41,43.28
6,1967,98.18,25.71,34.76,43.81
6,1968,95.96,24.99,33.59,42.2
6,1969,73.69,25.04,34.05,43.07
6,1970,107.93,24.58,33.6,42.61
6,1971,97.59,24.2,32.96,41.71
6,1972,96.29,23.43,32.28,41.11
6,1973,84.47,25.11,34.02,42.94
6,1974,120.11,25.78,34.32,42.85
6,1975,114.47,23.43,31.69,39.97
6,1976,77.54,26.77,35.27,43.77
6,1977,71.73,24.69,33.52,42.33
6,1978,71.12,24.7,33.28,41.85
6,1979,58.73,25.12,34.42,43.7
6,1980,79.97,25.85,34.71,43.58
6,1981,64.93,27.0,35.68,44.37
6,1982,74.86,22.87,31.73,40.59
6,1983,62.0,25.52,34.32,43.13
6,1984,72.56,24.92,33.65,42.41
6,1985,64.45,22.61,31.22,39.81
6,1986,78.14,26.29,34.95,43.63
6,1987,57.09,27.18,36.31,45.45
6,1988,61.74,26.52,35.77,45.04
6,1989,84.84,23.42,32.04,40.66
6,1990,98.55,24.21,33.03,41.84
6,1991,71.98,24.91,34.01,43.14
6,1992,62.94,25.93,35.12,44.32
6,1993,64.3,23.83,32.44,41.07
6,1994,71.64,25.42,34.72,43.99
6,1995,92.49,24.59,33.36,42.07
6,1996,90.73,22.21,31.27,40.32
6,1997,76.43,25.03,33.78,42.52
6,1998,71.78,26.76,35.93,45.13
6,1999,79.6,26.53,34.85,43.18
6,2000,58.63,25.19,33.93,42.68
6,2001,56.95,26.14,34.95,43.76
6,2002,80.89,24.66,33.23,41.79
6,2003,67.01,26.73,35.96,45.18
6,2004,71.56,27.13,35.76,44.39
6,2005,68.44,26.05,35.07,44.08
6,2006,79.71,27.4,36.59,45.8
6,2007,65.59,26.8,36.08,45.33
6,2008,66.83,25.01,34.34,43.7
6,2009,65.23,24.67,34.14,43.59
6,2010,71.23,26.66,35.42,44.21
6,2011,85.88,25.21,34.19,43.17
6,2012,100.1,27.5,36.38,45.32
6,2013,70.93,26.91,35.83,44.78
6,2014,78.89,26.36,35.14,43.92
6,2015,60.4,28.83,37.81,46.77
7,1966,95.97,24.62,33.59,42.57
7,1967,96.65,24.71,33.82,42.94
7,1968,89.15,24.29,32.78,41.28
7,1969,69.99,24.46,33.38,42.3
7,1970,104.18,23.84,32.88,41.95
